frame_idx,t_global_s,linear_velocity,reward_state,slot_1
1,0.0166666666666667,30,0,1|-12.000|89.500|1
2,0.0333333333333333,30,0,1|-12.000|89.000|1
3,0.05,30,0,1|-12.000|88.500|1
4,0.0666666666666667,30,0,1|-12.000|88.000|1
5,0.0833333333333333,30,0,1|-12.000|87.500|1
6,0.1,30,0,1|-12.000|87.000|1
7,0.116666666666667,30,0,1|-12.000|86.500|1
8,0.133333333333333,30,0,1|-12.000|86.000|1
9,0.15,30,0,1|-12.000|85.500|1
10,0.166666666666667,30,0,1|-12.000|85.000|1
11,0.183333333333333,30,0,1|-11.333|84.500|1
12,0.2,30,0,1|-11.333|84.000|1
13,0.216666666666667,30,0,1|-11.333|83.500|1
14,0.233333333333333,30,0,1|-11.333|83.000|1
15,0.25,30,0,1|-11.333|82.500|1
16,0.266666666666667,30,0,1|-11.333|82.000|1
17,0.283333333333333,30,0,1|-11.333|81.500|1
18,0.3,30,0,1|-11.333|81.000|1
19,0.316666666666667,30,0,1|-11.333|80.500|1
20,0.333333333333333,30,0,1|-11.333|80.000|1
21,0.35,30,0,1|-11.333|79.500|1
22,0.366666666666667,30,0,1|-10.667|79.000|1
23,0.383333333333333,30,0,1|-10.667|78.500|1
24,0.4,30,0,1|-10.667|78.000|1
25,0.416666666666667,30,0,1|-10.667|77.500|1
26,0.433333333333333,30,0,1|-10.667|77.000|1
27,0.45,30,0,1|-10.667|76.500|1
28,0.466666666666667,30,0,1|-10.000|76.000|1
29,0.483333333333333,30,0,1|-10.000|75.500|1
30,0.5,30,0,1|-9.333|75.000|1
31,0.516666666666667,30,0,1|-8.667|74.500|1
32,0.533333333333333,30,0,1|-8.667|74.000|1
33,0.55,30,0,1|-8.667|73.500|1
34,0.566666666666667,30,0,1|-8.667|73.000|1
35,0.583333333333333,30,0,1|-8.667|72.500|1
36,0.6,30,0,1|-8.667|72.000|1
37,0.616666666666667,30,0,1|-8.667|71.500|1
38,0.633333333333333,30,0,1|-8.667|71.000|1
39,0.65,30,0,1|-8.667|70.500|1
40,0.666666666666667,30,0,1|-8.667|70.000|1
41,0.683333333333333,30,0,1|-8.667|69.500|1
42,0.7,30,0,1|-8.667|69.000|1
43,0.716666666666667,30,0,1|-8.667|68.500|1
44,0.733333333333333,30,0,1|-8.667|68.000|1
45,0.75,30,0,1|-8.667|67.500|1
46,0.766666666666667,30,0,1|-8.667|67.000|1
47,0.783333333333333,30,0,1|-8.667|66.500|1
48,0.8,30,0,1|-8.667|66.000|1
49,0.816666666666667,30,0,1|-8.667|65.500|1
50,0.833333333333333,30,0,1|-8.667|65.000|1
51,0.85,30,0,1|-8.667|64.500|1
52,0.866666666666667,30,0,1|-8.667|64.000|1
53,0.883333333333333,30,0,1|-8.667|63.500|1
54,0.9,30,0,1|-8.667|63.000|1
55,0.916666666666667,30,0,1|-8.667|62.500|1
56,0.933333333333333,30,0,1|-8.667|62.000|1
57,0.95,30,0,1|-8.667|61.500|1
58,0.966666666666667,30,0,1|-8.667|61.000|1
59,0.983333333333333,30,0,1|-8.667|60.500|1
60,1,30,0,1|-8.000|60.000|1
61,1.01666666666667,30,0,1|-8.000|59.500|1
62,1.03333333333333,30,0,1|-8.000|59.000|1
63,1.05,30,0,1|-8.000|58.500|1
64,1.06666666666667,30,0,1|-8.000|58.000|1
65,1.08333333333333,30,0,1|-7.333|57.500|1
66,1.1,30,0,1|-7.333|57.000|1
67,1.11666666666667,30,0,1|-7.333|56.500|1
68,1.13333333333333,30,0,1|-7.333|56.000|1
69,1.15,30,0,1|-7.333|55.500|1
70,1.16666666666667,30,0,1|-6.667|55.000|1
71,1.18333333333333,30,0,1|-6.667|54.500|1
72,1.2,30,0,1|-6.667|54.000|1
73,1.21666666666667,30,0,1|-6.667|53.500|1
74,1.23333333333333,30,0,1|-6.000|53.000|1
75,1.25,30,0,1|-6.000|52.500|1
76,1.26666666666667,30,0,1|-6.000|52.000|1
77,1.28333333333333,30,0,1|-6.000|51.500|1
78,1.3,30,0,1|-6.000|51.000|1
79,1.31666666666667,30,0,1|-6.000|50.500|1
80,1.33333333333333,30,0,1|-6.000|50.000|1
81,1.35,30,0,1|-6.000|49.500|1
82,1.36666666666667,30,0,1|-6.000|49.000|1
83,1.38333333333333,30,0,1|-6.000|48.500|1
84,1.4,30,0,1|-6.000|48.000|1
85,1.41666666666667,30,0,1|-6.000|47.500|1
86,1.43333333333333,30,0,1|-6.000|47.000|1
87,1.45,30,0,1|-6.000|46.500|1
88,1.46666666666667,30,0,1|-6.000|46.000|1
89,1.48333333333333,30,0,1|-6.000|45.500|1
90,1.5,30,0,1|-6.000|45.000|1
91,1.51666666666667,30,0,1|-6.000|44.500|1
92,1.53333333333333,30,0,1|-6.000|44.000|1
93,1.55,30,0,1|-6.000|43.500|1
94,1.56666666666667,30,0,1|-6.000|43.000|1
95,1.58333333333333,30,0,1|-6.000|42.500|1
96,1.6,30,0,1|-6.000|42.000|1
97,1.61666666666667,30,0,1|-6.000|41.500|1
98,1.63333333333333,30,0,1|-6.000|41.000|1
99,1.65,30,0,1|-5.333|40.500|1
100,1.66666666666667,30,0,1|-5.333|40.000|1
101,1.68333333333333,30,0,1|-4.667|39.500|1
102,1.7,30,0,1|-4.667|39.000|1
103,1.71666666666667,30,0,1|-4.667|38.500|1
104,1.73333333333333,30,0,1|-4.667|38.000|1
105,1.75,30,0,1|-4.667|37.500|1
106,1.76666666666667,30,0,1|-4.667|37.000|1
107,1.78333333333333,30,0,1|-4.667|36.500|1
108,1.8,30,0,1|-4.667|36.000|1
109,1.81666666666667,30,0,1|-4.667|35.500|1
110,1.83333333333333,30,0,1|-4.667|35.000|1
111,1.85,30,0,1|-4.667|34.500|1
112,1.86666666666667,30,0,1|-4.000|34.000|1
113,1.88333333333333,30,0,1|-4.000|33.500|1
114,1.9,30,0,1|-3.333|33.000|1
115,1.91666666666667,30,0,1|-3.333|32.500|1
116,1.93333333333333,30,0,1|-3.333|32.000|1
117,1.95,30,0,1|-3.333|31.500|1
118,1.96666666666667,30,0,1|-3.333|31.000|1
119,1.98333333333333,30,0,1|-3.333|30.500|1
120,2,30,0,1|-3.333|30.000|1
121,2.01666666666667,30,0,1|-3.333|29.500|1
122,2.03333333333333,30,0,1|-3.333|29.000|1
123,2.05,30,0,1|-2.667|28.500|1
124,2.06666666666667,30,0,1|-2.667|28.000|1
125,2.08333333333333,30,0,1|-2.667|27.500|1
126,2.1,30,0,1|-2.667|27.000|1
127,2.11666666666667,30,0,1|-2.667|26.500|1
128,2.13333333333333,30,0,1|-2.667|26.000|1
129,2.15,30,0,1|-2.667|25.500|1
130,2.16666666666667,30,0,1|-2.667|25.000|1
131,2.18333333333333,30,0,1|-2.667|24.500|1
132,2.2,30,0,1|-2.667|24.000|1
133,2.21666666666667,30,0,1|-2.667|23.500|1
134,2.23333333333333,30,0,1|-2.667|23.000|1
135,2.25,30,0,1|-2.000|22.500|1
136,2.26666666666667,30,0,1|-2.000|22.000|1
137,2.28333333333333,30,0,1|-2.000|21.500|1
138,2.3,30,0,1|-2.000|21.000|1
139,2.31666666666667,30,0,1|-2.000|20.500|1
140,2.33333333333333,30,0,1|-2.000|20.000|1
141,2.35,30,0,1|-2.000|19.500|1
142,2.36666666666667,30,0,1|-2.000|19.000|1
143,2.38333333333333,30,0,1|-2.000|18.500|1
144,2.4,30,0,1|-2.000|18.000|1
145,2.41666666666667,30,0,1|-2.000|17.500|1
146,2.43333333333333,30,0,1|-2.000|17.000|1
147,2.45,30,0,1|-2.000|16.500|1
148,2.46666666666667,30,0,1|-2.000|16.000|1
149,2.48333333333333,30,0,1|-2.000|15.500|1
150,2.5,30,0,1|-2.000|15.000|1
151,2.51666666666667,30,0,1|-2.000|14.500|1
152,2.53333333333333,30,0,1|-2.000|14.000|1
153,2.55,30,0,1|-1.333|13.500|1
154,2.56666666666667,30,0,1|-1.333|13.000|1
155,2.58333333333333,30,0,1|-1.333|12.500|1
156,2.6,30,0,1|-1.333|12.000|1
157,2.61666666666667,30,0,1|-1.333|11.500|1
158,2.63333333333333,30,0,1|-1.333|11.000|1
159,2.65,30,0,1|-1.333|10.500|1
160,2.66666666666667,30,0,1|-1.333|10.000|1
161,2.68333333333333,30,0,1|-1.333|9.500|1
162,2.7,30,0,1|-1.333|9.000|1
163,2.71666666666667,30,0,1|-1.333|8.500|1
164,2.73333333333333,30,0,1|-1.333|8.000|1
165,2.75,30,0,1|-1.333|7.500|1
166,2.76666666666667,30,0,1|-1.333|7.000|1
167,2.78333333333333,30,0,1|-1.333|6.500|1
168,2.8,30,0,1|-1.333|6.000|1
169,2.81666666666667,30,0,1|-0.667|5.500|1
170,2.83333333333333,30,0,1|-0.667|5.000|1
171,2.85,30,0,1|-0.667|4.500|1
172,2.86666666666667,30,0,1|-0.667|4.000|1
173,2.88333333333333,30,0,1|-0.667|3.500|1
174,2.9,30,0,1|-0.667|3.000|1
175,2.91666666666667,30,0,1|-0.667|2.500|1
176,2.93333333333333,30,0,1|-0.000|2.000|1
177,2.95,30,0,1|-0.000|1.500|1
178,2.96666666666667,30,0,1|-0.000|1.000|1
179,2.98333333333333,30,0,1|-0.000|0.500|1
180,3,30,1,1|-0.000|0.000|1
181,3.01666666666667,30,0,2|6.000|89.500|1
182,3.03333333333333,30,0,2|5.867|89.000|1
183,3.05,30,0,2|5.867|88.500|1
184,3.06666666666667,30,0,2|5.867|88.000|1
185,3.08333333333333,30,0,2|5.733|87.500|1
186,3.1,30,0,2|5.733|87.000|1
187,3.11666666666667,30,0,2|5.733|86.500|1
188,3.13333333333333,30,0,2|5.733|86.000|1
189,3.15,30,0,2|5.733|85.500|1
190,3.16666666666667,30,0,2|5.600|85.000|1
191,3.18333333333333,30,0,2|5.600|84.500|1
192,3.2,30,0,2|5.600|84.000|1
193,3.21666666666667,30,0,2|5.600|83.500|1
194,3.23333333333333,30,0,2|5.600|83.000|1
195,3.25,30,0,2|5.600|82.500|1
196,3.26666666666667,30,0,2|5.600|82.000|1
197,3.28333333333333,30,0,2|5.467|81.500|1
198,3.3,30,0,2|5.333|81.000|1
199,3.31666666666667,30,0,2|5.333|80.500|1
200,3.33333333333333,30,0,2|5.333|80.000|1
201,3.35,30,0,2|5.200|79.500|1
202,3.36666666666667,30,0,2|5.067|79.000|1
203,3.38333333333333,30,0,2|5.067|78.500|1
204,3.4,30,0,2|5.067|78.000|1
205,3.41666666666667,30,0,2|5.067|77.500|1
206,3.43333333333333,30,0,2|4.933|77.000|1
207,3.45,30,0,2|4.800|76.500|1
208,3.46666666666667,30,0,2|4.800|76.000|1
209,3.48333333333333,30,0,2|4.800|75.500|1
210,3.5,30,0,2|4.800|75.000|1
211,3.51666666666667,30,0,2|4.800|74.500|1
212,3.53333333333333,30,0,2|4.800|74.000|1
213,3.55,30,0,2|4.800|73.500|1
214,3.56666666666667,30,0,2|4.800|73.000|1
215,3.58333333333333,30,0,2|4.800|72.500|1
216,3.6,30,0,2|4.800|72.000|1
217,3.61666666666667,30,0,2|4.800|71.500|1
218,3.63333333333333,30,0,2|4.800|71.000|1
219,3.65,30,0,2|4.800|70.500|1
220,3.66666666666667,30,0,2|4.667|70.000|1
221,3.68333333333333,30,0,2|4.667|69.500|1
222,3.7,30,0,2|4.533|69.000|1
223,3.71666666666667,30,0,2|4.400|68.500|1
224,3.73333333333333,30,0,2|4.400|68.000|1
225,3.75,30,0,2|4.400|67.500|1
226,3.76666666666667,30,0,2|4.400|67.000|1
227,3.78333333333333,30,0,2|4.267|66.500|1
228,3.8,30,0,2|4.133|66.000|1
229,3.81666666666667,30,0,2|4.000|65.500|1
230,3.83333333333333,30,0,2|4.000|65.000|1
231,3.85,30,0,2|3.867|64.500|1
232,3.86666666666667,30,0,2|3.867|64.000|1
233,3.88333333333333,30,0,2|3.867|63.500|1
234,3.9,30,0,2|3.867|63.000|1
235,3.91666666666667,30,0,2|3.867|62.500|1
236,3.93333333333333,30,0,2|3.867|62.000|1
237,3.95,30,0,2|3.867|61.500|1
238,3.96666666666667,30,0,2|3.733|61.000|1
239,3.98333333333333,30,0,2|3.733|60.500|1
240,4,30,0,2|3.600|60.000|1
241,4.01666666666667,30,0,2|3.600|59.500|1
242,4.03333333333333,30,0,2|3.600|59.000|1
243,4.05,30,0,2|3.467|58.500|1
244,4.06666666666667,30,0,2|3.467|58.000|1
245,4.08333333333333,30,0,2|3.467|57.500|1
246,4.1,30,0,2|3.467|57.000|1
247,4.11666666666667,30,0,2|3.467|56.500|1
248,4.13333333333333,30,0,2|3.467|56.000|1
249,4.15,30,0,2|3.467|55.500|1
250,4.16666666666667,30,0,2|3.467|55.000|1
251,4.18333333333333,30,0,2|3.467|54.500|1
252,4.2,30,0,2|3.467|54.000|1
253,4.21666666666667,30,0,2|3.467|53.500|1
254,4.23333333333333,30,0,2|3.467|53.000|1
255,4.25,30,0,2|3.467|52.500|1
256,4.26666666666667,30,0,2|3.333|52.000|1
257,4.28333333333333,30,0,2|3.333|51.500|1
258,4.3,30,0,2|3.333|51.000|1
259,4.31666666666667,30,0,2|3.333|50.500|1
