frame_idx,t_global_s,linear_velocity,reward_state,reward_amount,reward_level,slot1
1,0.016666667,25,0,0,0,1|15.000|29.750|1|1.500
2,0.033333333,25,0,0,0,1|15.000|29.500|1|1.500
3,0.05,25,0,0,0,1|15.000|29.250|1|1.500
4,0.066666667,25,0,0,0,1|15.000|29.000|1|1.500
5,0.083333333,25,0,0,0,1|15.000|28.750|1|1.500
6,0.1,25,0,0,0,1|15.000|28.500|1|1.500
7,0.116666667,25,0,0,0,1|15.000|28.250|1|1.500
8,0.133333333,25,0,0,0,1|15.000|28.000|1|1.500
9,0.15,25,0,0,0,1|15.000|27.750|1|1.500
10,0.166666667,25,0,0,0,1|15.000|27.500|1|1.500
11,0.183333333,25,0,0,0,1|15.000|27.250|1|1.500
12,0.2,25,0,0,0,1|15.000|27.000|1|1.500
13,0.216666667,25,0,0,0,1|15.000|26.750|1|1.500
14,0.233333333,25,0,0,0,1|15.000|26.500|1|1.500
15,0.25,25,0,0,0,1|15.000|26.250|1|1.500
16,0.266666667,25,0,0,0,1|15.000|26.000|1|1.500
17,0.283333333,25,0,0,0,1|15.000|25.750|1|1.500
18,0.3,25,0,0,0,1|15.000|25.500|1|1.500
19,0.316666667,25,0,0,0,1|15.000|25.250|1|1.500
20,0.333333333,25,0,0,0,1|15.000|25.000|1|1.500
21,0.35,25,0,0,0,1|15.000|24.750|1|1.500
22,0.366666667,25,0,0,0,1|15.000|24.500|1|1.500
23,0.383333333,25,0,0,0,1|15.000|24.250|1|1.500
24,0.4,25,0,0,0,1|15.000|24.000|1|1.500
25,0.416666667,25,0,0,0,1|15.000|23.750|1|1.500
26,0.433333333,25,0,0,0,1|15.000|23.500|1|1.500
27,0.45,25,0,0,0,1|15.000|23.250|1|1.500
28,0.466666667,25,0,0,0,1|15.000|23.000|1|1.500
29,0.483333333,25,0,0,0,1|15.000|22.750|1|1.500
30,0.5,25,0,0,0,1|15.000|22.500|1|1.500
31,0.516666667,25,0,0,0,1|15.000|22.250|1|1.500
32,0.533333333,25,0,0,0,1|15.000|22.000|1|1.500
33,0.55,25,0,0,0,1|15.000|21.750|1|1.500
34,0.566666667,25,0,0,0,1|15.000|21.500|1|1.500
35,0.583333333,25,0,0,0,1|15.000|21.250|1|1.500
36,0.6,25,0,0,0,1|15.000|21.000|1|1.500
37,0.616666667,25,0,0,0,1|15.000|20.750|1|1.500
38,0.633333333,25,0,0,0,1|15.000|20.500|1|1.500
39,0.65,25,0,0,0,1|15.000|20.250|1|1.500
40,0.666666667,25,0,0,0,1|15.000|20.000|1|1.500
41,0.683333333,25,0,0,0,1|15.000|19.750|1|1.500
42,0.7,25,0,0,0,1|15.000|19.500|1|1.500
43,0.716666667,25,0,0,0,1|15.000|19.250|1|1.500
44,0.733333333,25,0,0,0,1|15.000|19.000|1|1.500
45,0.75,25,0,0,0,1|15.000|18.750|1|1.500
46,0.766666667,25,0,0,0,1|15.000|18.500|1|1.500
47,0.783333333,25,0,0,0,1|15.000|18.250|1|1.500
48,0.8,25,0,0,0,1|15.000|18.000|1|1.500
49,0.816666667,25,0,0,0,1|15.000|17.750|1|1.500
50,0.833333333,25,0,0,0,1|15.000|17.500|1|1.500
51,0.85,25,0,0,0,1|15.000|17.250|1|1.500
52,0.866666667,25,0,0,0,1|15.000|17.000|1|1.500
53,0.883333333,25,0,0,0,1|15.000|16.750|1|1.500
54,0.9,25,0,0,0,1|15.000|16.500|1|1.500
55,0.916666667,25,0,0,0,1|15.000|16.250|1|1.500
56,0.933333333,25,0,0,0,1|15.000|16.000|1|1.500
57,0.95,25,0,0,0,1|15.000|15.750|1|1.500
58,0.966666667,25,0,0,0,1|15.000|15.500|1|1.500
59,0.983333333,25,0,0,0,1|15.000|15.250|1|1.500
60,1,25,0,0,0,1|15.000|15.000|1|1.500
61,1.016666667,25,0,0,0,1|15.000|14.750|1|1.500
62,1.033333333,25,0,0,0,1|15.000|14.500|1|1.500
63,1.05,25,0,0,0,1|15.000|14.250|1|1.500
64,1.066666667,25,0,0,0,1|15.000|14.000|1|1.500
