frame_idx,t_global_s,linear_velocity,reward_state,reward_amount,reward_level,slot1
1,0.0166666666666667,25,0,0,0,1|-12.000|29.750|1|1.500
2,0.0333333333333333,25,0,0,0,1|-12.000|29.500|1|1.500
3,0.05,25,0,0,0,1|-12.000|29.250|1|1.500
4,0.0666666666666667,25,0,0,0,1|-12.000|29.000|1|1.500
5,0.0833333333333333,25,0,0,0,1|-12.000|28.750|1|1.500
6,0.1,25,0,0,0,1|-12.000|28.500|1|1.500
7,0.116666666666667,25,0,0,0,1|-11.600|28.250|1|1.500
8,0.133333333333333,25,0,0,0,1|-11.600|28.000|1|1.500
9,0.15,25,0,0,0,1|-11.200|27.750|1|1.500
10,0.166666666666667,25,0,0,0,1|-11.200|27.500|1|1.500
11,0.183333333333333,25,0,0,0,1|-11.200|27.250|1|1.500
12,0.2,25,0,0,0,1|-11.200|27.000|1|1.500
13,0.216666666666667,25,0,0,0,1|-10.800|26.750|1|1.500
14,0.233333333333333,25,0,0,0,1|-10.800|26.500|1|1.500
15,0.25,25,0,0,0,1|-10.400|26.250|1|1.500
16,0.266666666666667,25,0,0,0,1|-10.400|26.000|1|1.500
17,0.283333333333333,25,0,0,0,1|-10.000|25.750|1|1.500
18,0.3,25,0,0,0,1|-10.000|25.500|1|1.500
19,0.316666666666667,25,0,0,0,1|-10.000|25.250|1|1.500
20,0.333333333333333,25,0,0,0,1|-10.000|25.000|1|1.500
21,0.35,25,0,0,0,1|-10.000|24.750|1|1.500
22,0.366666666666667,25,0,0,0,1|-9.600|24.500|1|1.500
23,0.383333333333333,25,0,0,0,1|-9.200|24.250|1|1.500
24,0.4,25,0,0,0,1|-9.200|24.000|1|1.500
25,0.416666666666667,25,0,0,0,1|-9.200|23.750|1|1.500
26,0.433333333333333,25,0,0,0,1|-8.800|23.500|1|1.500
27,0.45,25,0,0,0,1|-8.800|23.250|1|1.500
28,0.466666666666667,25,0,0,0,1|-8.800|23.000|1|1.500
29,0.483333333333333,25,0,0,0,1|-8.800|22.750|1|1.500
30,0.5,25,0,0,0,1|-8.800|22.500|1|1.500
31,0.516666666666667,25,0,0,0,1|-8.800|22.250|1|1.500
32,0.533333333333333,25,0,0,0,1|-8.800|22.000|1|1.500
33,0.55,25,0,0,0,1|-8.800|21.750|1|1.500
34,0.566666666666667,25,0,0,0,1|-8.800|21.500|1|1.500
35,0.583333333333333,25,0,0,0,1|-8.400|21.250|1|1.500
36,0.6,25,0,0,0,1|-8.000|21.000|1|1.500
37,0.616666666666667,25,0,0,0,1|-8.000|20.750|1|1.500
38,0.633333333333333,25,0,0,0,1|-8.000|20.500|1|1.500
39,0.65,25,0,0,0,1|-8.000|20.250|1|1.500
40,0.666666666666667,25,0,0,0,1|-8.000|20.000|1|1.500
41,0.683333333333333,25,0,0,0,1|-7.600|19.750|1|1.500
42,0.7,25,0,0,0,1|-7.600|19.500|1|1.500
43,0.716666666666667,25,0,0,0,1|-7.600|19.250|1|1.500
44,0.733333333333333,25,0,0,0,1|-7.200|19.000|1|1.500
45,0.75,25,0,0,0,1|-7.200|18.750|1|1.500
46,0.766666666666667,25,0,0,0,1|-7.200|18.500|1|1.500
47,0.783333333333333,25,0,0,0,1|-7.200|18.250|1|1.500
48,0.8,25,0,0,0,1|-7.200|18.000|1|1.500
49,0.816666666666667,25,0,0,0,1|-7.200|17.750|1|1.500
50,0.833333333333333,25,0,0,0,1|-6.800|17.500|1|1.500
51,0.85,25,0,0,0,1|-6.800|17.250|1|1.500
52,0.866666666666667,25,0,0,0,1|-6.800|17.000|1|1.500
53,0.883333333333333,25,0,0,0,1|-6.800|16.750|1|1.500
54,0.9,25,0,0,0,1|-6.800|16.500|1|1.500
55,0.916666666666667,25,0,0,0,1|-6.800|16.250|1|1.500
56,0.933333333333333,25,0,0,0,1|-6.400|16.000|1|1.500
57,0.95,25,0,0,0,1|-6.000|15.750|1|1.500
58,0.966666666666667,25,0,0,0,1|-6.000|15.500|1|1.500
59,0.983333333333333,25,0,0,0,1|-6.000|15.250|1|1.500
60,1,25,0,0,0,1|-6.000|15.000|1|1.500
61,1.01666666666667,25,0,0,0,1|-6.000|14.750|1|1.500
62,1.03333333333333,25,0,0,0,1|-6.000|14.500|1|1.500
63,1.05,25,0,0,0,1|-5.600|14.250|1|1.500
64,1.06666666666667,25,0,0,0,1|-5.600|14.000|1|1.500
65,1.08333333333333,25,0,0,0,1|-5.200|13.750|1|1.500
66,1.1,25,0,0,0,1|-5.200|13.500|1|1.500
67,1.11666666666667,25,0,0,0,1|-5.200|13.250|1|1.500
68,1.13333333333333,25,0,0,0,1|-4.800|13.000|1|1.500
69,1.15,25,0,0,0,1|-4.800|12.750|1|1.500
70,1.16666666666667,25,0,0,0,1|-4.800|12.500|1|1.500
71,1.18333333333333,25,0,0,0,1|-4.800|12.250|1|1.500
72,1.2,25,0,0,0,1|-4.400|12.000|1|1.500
73,1.21666666666667,25,0,0,0,1|-4.400|11.750|1|1.500
74,1.23333333333333,25,0,0,0,1|-4.400|11.500|1|1.500
75,1.25,25,0,0,0,1|-4.400|11.250|1|1.500
76,1.26666666666667,25,0,0,0,1|-4.400|11.000|1|1.500
77,1.28333333333333,25,0,0,0,1|-4.400|10.750|1|1.500
78,1.3,25,0,0,0,1|-4.400|10.500|1|1.500
79,1.31666666666667,25,0,0,0,1|-4.400|10.250|1|1.500
80,1.33333333333333,25,0,0,0,1|-4.400|10.000|1|1.500
81,1.35,25,0,0,0,1|-4.400|9.750|1|1.500
82,1.36666666666667,25,0,0,0,1|-4.000|9.500|1|1.500
83,1.38333333333333,25,0,0,0,1|-4.000|9.250|1|1.500
84,1.4,25,0,0,0,1|-4.000|9.000|1|1.500
85,1.41666666666667,25,0,0,0,1|-3.600|8.750|1|1.500
86,1.43333333333333,25,0,0,0,1|-3.600|8.500|1|1.500
87,1.45,25,0,0,0,1|-3.600|8.250|1|1.500
88,1.46666666666667,25,0,0,0,1|-3.600|8.000|1|1.500
89,1.48333333333333,25,0,0,0,1|-3.200|7.750|1|1.500
90,1.5,25,0,0,0,1|-2.800|7.500|1|1.500
91,1.51666666666667,25,0,0,0,1|-2.800|7.250|1|1.500
92,1.53333333333333,25,0,0,0,1|-2.400|7.000|1|1.500
93,1.55,25,0,0,0,1|-2.400|6.750|1|1.500
94,1.56666666666667,25,0,0,0,1|-2.400|6.500|1|1.500
95,1.58333333333333,25,0,0,0,1|-2.400|6.250|1|1.500
96,1.6,25,0,0,0,1|-2.400|6.000|1|1.500
97,1.61666666666667,25,0,0,0,1|-2.400|5.750|1|1.500
98,1.63333333333333,25,0,0,0,1|-2.400|5.500|1|1.500
99,1.65,25,0,0,0,1|-2.000|5.250|1|1.500
100,1.66666666666667,25,0,0,0,1|-2.000|5.000|1|1.500
101,1.68333333333333,25,0,0,0,1|-2.000|4.750|1|1.500
102,1.7,25,0,0,0,1|-2.000|4.500|1|1.500
103,1.71666666666667,25,0,0,0,1|-2.000|4.250|1|1.500
104,1.73333333333333,25,0,0,0,1|-2.000|4.000|1|1.500
105,1.75,25,0,0,0,1|-2.000|3.750|1|1.500
106,1.76666666666667,25,0,0,0,1|-2.000|3.500|1|1.500
107,1.78333333333333,25,0,0,0,1|-2.000|3.250|1|1.500
108,1.8,25,0,0,0,1|-1.600|3.000|1|1.500
109,1.81666666666667,25,0,0,0,1|-1.200|2.750|1|1.500
110,1.83333333333333,25,0,0,0,1|-0.800|2.500|1|1.500
111,1.85,25,0,0,0,1|-0.800|2.250|1|1.500
112,1.86666666666667,25,0,0,0,1|-0.800|2.000|1|1.500
113,1.88333333333333,25,0,0,0,1|-0.800|1.750|1|1.500
114,1.9,25,0,0,0,1|-0.800|1.500|1|1.500
115,1.91666666666667,25,0,0,0,1|-0.800|1.250|1|1.500
116,1.93333333333333,25,0,0,0,1|-0.800|1.000|1|1.500
117,1.95,25,0,0,0,1|-0.800|0.750|1|1.500
118,1.96666666666667,25,0,0,0,1|-0.800|0.500|1|1.500
119,1.98333333333333,25,0,0,0,1|-0.400|0.250|1|1.500
120,2,25,1,1.5,3,1|0.000|0.000|1|1.500
121,2.01666666666667,0,0,0,0,
122,2.03333333333333,0,0,0,0,
123,2.05,0,0,0,0,
124,2.06666666666667,0,0,0,0,
125,2.08333333333333,0,0,0,0,
126,2.1,0,0,0,0,
127,2.11666666666667,0,0,0,0,
128,2.13333333333333,0,0,0,0,
129,2.15,0,0,0,0,
130,2.16666666666667,0,0,0,0,
131,2.18333333333333,0,0,0,0,
132,2.2,0,0,0,0,
133,2.21666666666667,0,0,0,0,
134,2.23333333333333,0,0,0,0,
135,2.25,0,0,0,0,
136,2.26666666666667,0,0,0,0,
137,2.28333333333333,0,0,0,0,
138,2.3,0,0,0,0,
139,2.31666666666667,25,0,0,0,2|-8.700|29.750|1|3.000
140,2.33333333333333,25,0,0,0,2|-8.400|29.500|1|3.000
141,2.35,25,0,0,0,2|-8.100|29.250|1|3.000
142,2.36666666666667,25,0,0,0,2|-8.100|29.000|1|3.000
143,2.38333333333333,25,0,0,0,2|-8.100|28.750|1|3.000
144,2.4,25,0,0,0,2|-8.100|28.500|1|3.000
145,2.41666666666667,25,0,0,0,2|-7.800|28.250|1|3.000
146,2.43333333333333,25,0,0,0,2|-7.800|28.000|1|3.000
147,2.45,25,0,0,0,2|-7.800|27.750|1|3.000
148,2.46666666666667,25,0,0,0,2|-7.500|27.500|1|3.000
149,2.48333333333333,25,0,0,0,2|-7.500|27.250|1|3.000
150,2.5,25,0,0,0,2|-7.200|27.000|1|3.000
151,2.51666666666667,25,0,0,0,2|-6.900|26.750|1|3.000
152,2.53333333333333,25,0,0,0,2|-6.600|26.500|1|3.000
153,2.55,25,0,0,0,2|-6.300|26.250|1|3.000
154,2.56666666666667,25,0,0,0,2|-6.300|26.000|1|3.000
155,2.58333333333333,25,0,0,0,2|-6.300|25.750|1|3.000
156,2.6,25,0,0,0,2|-6.000|25.500|1|3.000
157,2.61666666666667,25,0,0,0,2|-5.700|25.250|1|3.000
158,2.63333333333333,25,0,0,0,2|-5.700|25.000|1|3.000
159,2.65,25,0,0,0,2|-5.700|24.750|1|3.000
160,2.66666666666667,25,0,0,0,2|-5.700|24.500|1|3.000
161,2.68333333333333,25,0,0,0,2|-5.700|24.250|1|3.000
162,2.7,25,0,0,0,2|-5.700|24.000|1|3.000
163,2.71666666666667,25,0,0,0,2|-5.700|23.750|1|3.000
164,2.73333333333333,25,0,0,0,2|-5.700|23.500|1|3.000
165,2.75,25,0,0,0,2|-5.400|23.250|1|3.000
166,2.76666666666667,25,0,0,0,2|-5.100|23.000|1|3.000
167,2.78333333333333,25,0,0,0,2|-5.100|22.750|1|3.000
168,2.8,25,0,0,0,2|-5.100|22.500|1|3.000
169,2.81666666666667,25,0,0,0,2|-5.100|22.250|1|3.000
170,2.83333333333333,25,0,0,0,2|-5.100|22.000|1|3.000
171,2.85,25,0,0,0,2|-5.100|21.750|1|3.000
172,2.86666666666667,25,0,0,0,2|-5.100|21.500|1|3.000
173,2.88333333333333,25,0,0,0,2|-5.100|21.250|1|3.000
174,2.9,25,0,0,0,2|-5.100|21.000|1|3.000
175,2.91666666666667,25,0,0,0,2|-5.100|20.750|1|3.000
176,2.93333333333333,25,0,0,0,2|-5.100|20.500|1|3.000
177,2.95,25,0,0,0,2|-5.100|20.250|1|3.000
178,2.96666666666667,25,0,0,0,2|-5.100|20.000|1|3.000
179,2.98333333333333,25,0,0,0,2|-5.100|19.750|1|3.000
180,3,25,0,0,0,2|-5.100|19.500|1|3.000
181,3.01666666666667,25,0,0,0,2|-5.100|19.250|1|3.000
182,3.03333333333333,25,0,0,0,2|-5.100|19.000|1|3.000
183,3.05,25,0,0,0,2|-5.100|18.750|1|3.000
184,3.06666666666667,25,0,0,0,2|-5.100|18.500|1|3.000
185,3.08333333333333,25,0,0,0,2|-4.800|18.250|1|3.000
186,3.1,25,0,0,0,2|-4.800|18.000|1|3.000
187,3.11666666666667,25,0,0,0,2|-4.800|17.750|1|3.000
188,3.13333333333333,25,0,0,0,2|-4.800|17.500|1|3.000
189,3.15,25,0,0,0,2|-4.800|17.250|1|3.000
190,3.16666666666667,25,0,0,0,2|-4.800|17.000|1|3.000
191,3.18333333333333,25,0,0,0,2|-4.500|16.750|1|3.000
192,3.2,25,0,0,0,2|-4.500|16.500|1|3.000
193,3.21666666666667,25,0,0,0,2|-4.500|16.250|1|3.000
194,3.23333333333333,25,0,0,0,2|-4.200|16.000|1|3.000
195,3.25,25,0,0,0,2|-4.200|15.750|1|3.000
196,3.26666666666667,25,0,0,0,2|-4.200|15.500|1|3.000
197,3.28333333333333,25,0,0,0,2|-4.200|15.250|1|3.000
198,3.3,25,0,0,0,2|-4.200|15.000|1|3.000
199,3.31666666666667,25,0,0,0,2|-3.900|14.750|1|3.000
200,3.33333333333333,25,0,0,0,2|-3.900|14.500|1|3.000
201,3.35,25,0,0,0,2|-3.600|14.250|1|3.000
202,3.36666666666667,25,0,0,0,2|-3.600|14.000|1|3.000
203,3.38333333333333,25,0,0,0,2|-3.600|13.750|1|3.000
204,3.4,25,0,0,0,2|-3.600|13.500|1|3.000
205,3.41666666666667,25,0,0,0,2|-3.600|13.250|1|3.000
206,3.43333333333333,25,0,0,0,2|-3.300|13.000|1|3.000
207,3.45,25,0,0,0,2|-3.000|12.750|1|3.000
208,3.46666666666667,25,0,0,0,2|-3.000|12.500|1|3.000
209,3.48333333333333,25,0,0,0,2|-2.700|12.250|1|3.000
210,3.5,25,0,0,0,2|-2.400|12.000|1|3.000
211,3.51666666666667,25,0,0,0,2|-2.400|11.750|1|3.000
212,3.53333333333333,25,0,0,0,2|-2.400|11.500|1|3.000
213,3.55,25,0,0,0,2|-2.100|11.250|1|3.000
214,3.56666666666667,25,0,0,0,2|-2.100|11.000|1|3.000
215,3.58333333333333,25,0,0,0,2|-2.100|10.750|1|3.000
216,3.6,25,0,0,0,2|-2.100|10.500|1|3.000
217,3.61666666666667,25,0,0,0,2|-2.100|10.250|1|3.000
218,3.63333333333333,25,0,0,0,2|-2.100|10.000|1|3.000
219,3.65,25,0,0,0,2|-1.800|9.750|1|3.000
220,3.66666666666667,25,0,0,0,2|-1.800|9.500|1|3.000
221,3.68333333333333,25,0,0,0,2|-1.800|9.250|1|3.000
222,3.7,25,0,0,0,2|-1.800|9.000|1|3.000
223,3.71666666666667,25,0,0,0,2|-1.500|8.750|1|3.000
224,3.73333333333333,25,0,0,0,2|-1.500|8.500|1|3.000
225,3.75,25,0,0,0,2|-1.500|8.250|1|3.000
226,3.76666666666667,25,0,0,0,2|-1.500|8.000|1|3.000
227,3.78333333333333,25,0,0,0,2|-1.500|7.750|1|3.000
228,3.8,25,0,0,0,2|-1.500|7.500|1|3.000
229,3.81666666666667,25,0,0,0,2|-1.500|7.250|1|3.000
230,3.83333333333333,25,0,0,0,2|-1.500|7.000|1|3.000
231,3.85,25,0,0,0,2|-1.200|6.750|1|3.000
232,3.86666666666667,25,0,0,0,2|-1.200|6.500|1|3.000
233,3.88333333333333,25,0,0,0,2|-1.200|6.250|1|3.000
234,3.9,25,0,0,0,2|-1.200|6.000|1|3.000
235,3.91666666666667,25,0,0,0,2|-1.200|5.750|1|3.000
236,3.93333333333333,25,0,0,0,2|-1.200|5.500|1|3.000
237,3.95,25,0,0,0,2|-1.200|5.250|1|3.000
238,3.96666666666667,25,0,0,0,2|-0.900|5.000|1|3.000
239,3.98333333333333,25,0,0,0,2|-0.600|4.750|1|3.000
240,4,25,0,0,0,2|-0.600|4.500|1|3.000
241,4.01666666666667,25,0,0,0,2|-0.600|4.250|1|3.000
242,4.03333333333333,25,0,0,0,2|-0.300|4.000|1|3.000
243,4.05,25,0,0,0,2|-0.300|3.750|1|3.000
244,4.06666666666667,25,0,0,0,2|-0.300|3.500|1|3.000
245,4.08333333333333,25,0,0,0,2|-0.300|3.250|1|3.000
246,4.1,25,0,0,0,2|-0.300|3.000|1|3.000
247,4.11666666666667,25,0,0,0,2|0.000|2.750|1|3.000
248,4.13333333333333,25,0,0,0,2|0.000|2.500|1|3.000
249,4.15,25,0,0,0,2|0.000|2.250|1|3.000
250,4.16666666666667,25,0,0,0,2|0.000|2.000|1|3.000
251,4.18333333333333,25,0,0,0,2|0.000|1.750|1|3.000
252,4.2,25,0,0,0,2|0.000|1.500|1|3.000
253,4.21666666666667,25,0,0,0,2|0.000|1.250|1|3.000
254,4.23333333333333,25,0,0,0,2|0.000|1.000|1|3.000
255,4.25,25,0,0,0,2|0.000|0.750|1|3.000
256,4.26666666666667,25,0,0,0,2|0.000|0.500|1|3.000
257,4.28333333333333,25,0,0,0,2|0.000|0.250|1|3.000
258,4.3,25,1,1,2,2|0.000|0.000|1|3.000
259,4.31666666666667,0,0,0,0,
260,4.33333333333333,0,0,0,0,
261,4.35,0,0,0,0,
262,4.36666666666667,0,0,0,0,
263,4.38333333333333,0,0,0,0,
264,4.4,0,0,0,0,
265,4.41666666666667,0,0,0,0,
266,4.43333333333333,0,0,0,0,
267,4.45,0,0,0,0,
268,4.46666666666667,0,0,0,0,
269,4.48333333333333,0,0,0,0,
270,4.5,0,0,0,0,
271,4.51666666666667,0,0,0,0,
272,4.53333333333333,0,0,0,0,
273,4.55,0,0,0,0,
274,4.56666666666667,0,0,0,0,
275,4.58333333333333,0,0,0,0,
276,4.6,0,0,0,0,
277,4.61666666666667,25,0,0,0,3|14.875|29.750|1|3.000
278,4.63333333333333,25,0,0,0,3|14.750|29.500|1|3.000
279,4.65,25,0,0,0,3|14.625|29.250|1|3.000
280,4.66666666666667,25,0,0,0,3|14.500|29.000|1|3.000
281,4.68333333333333,25,0,0,0,3|14.375|28.750|1|3.000
282,4.7,25,0,0,0,3|14.250|28.500|1|3.000
283,4.71666666666667,25,0,0,0,3|14.125|28.250|1|3.000
284,4.73333333333333,25,0,0,0,3|14.000|28.000|1|3.000
285,4.75,25,0,0,0,3|13.875|27.750|1|3.000
286,4.76666666666667,25,0,0,0,3|13.750|27.500|1|3.000
287,4.78333333333333,25,0,0,0,3|13.625|27.250|1|3.000
288,4.8,25,0,0,0,3|13.500|27.000|1|3.000
289,4.81666666666667,25,0,0,0,3|13.375|26.750|1|3.000
290,4.83333333333333,25,0,0,0,3|13.250|26.500|1|3.000
291,4.85,25,0,0,0,3|13.125|26.250|1|3.000
292,4.86666666666667,25,0,0,0,3|13.000|26.000|1|3.000
293,4.88333333333333,25,0,0,0,3|12.875|25.750|1|3.000
294,4.9,25,0,0,0,3|12.750|25.500|1|3.000
295,4.91666666666667,25,0,0,0,3|12.625|25.250|1|3.000
296,4.93333333333333,25,0,0,0,3|12.500|25.000|1|3.000
297,4.95,25,0,0,0,3|12.375|24.750|1|3.000
298,4.96666666666667,25,0,0,0,3|12.250|24.500|1|3.000
299,4.98333333333333,25,0,0,0,3|12.125|24.250|1|3.000
300,5,25,0,0,0,3|12.000|24.000|1|3.000
301,5.01666666666667,25,0,0,0,3|11.875|23.750|1|3.000
302,5.03333333333333,25,0,0,0,3|11.750|23.500|1|3.000
303,5.05,25,0,0,0,3|11.625|23.250|1|3.000
304,5.06666666666667,25,0,0,0,3|11.500|23.000|1|3.000
305,5.08333333333333,25,0,0,0,3|11.375|22.750|1|3.000
306,5.1,25,0,0,0,3|11.250|22.500|1|3.000
307,5.11666666666667,25,0,0,0,3|11.125|22.250|1|3.000
308,5.13333333333333,25,0,0,0,3|11.000|22.000|1|3.000
309,5.15,25,0,0,0,3|10.875|21.750|1|3.000
310,5.16666666666667,25,0,0,0,3|10.750|21.500|1|3.000
311,5.18333333333333,25,0,0,0,3|10.625|21.250|1|3.000
312,5.2,25,0,0,0,3|10.500|21.000|1|3.000
313,5.21666666666667,25,0,0,0,3|10.375|20.750|1|3.000
314,5.23333333333333,25,0,0,0,3|10.250|20.500|1|3.000
315,5.25,25,0,0,0,3|10.125|20.250|1|3.000
316,5.26666666666667,25,0,0,0,3|10.000|20.000|1|3.000
317,5.28333333333333,25,0,0,0,3|9.875|19.750|1|3.000
318,5.3,25,0,0,0,3|9.750|19.500|1|3.000
319,5.31666666666667,25,0,0,0,3|9.625|19.250|1|3.000
320,5.33333333333333,25,0,0,0,3|9.500|19.000|1|3.000
321,5.35,25,0,0,0,3|9.375|18.750|1|3.000
322,5.36666666666667,25,0,0,0,3|9.250|18.500|1|3.000
323,5.38333333333333,25,0,0,0,3|9.125|18.250|1|3.000
324,5.4,25,0,0,0,3|9.000|18.000|1|3.000
325,5.41666666666667,25,0,0,0,3|8.875|17.750|1|3.000
326,5.43333333333333,25,0,0,0,3|8.750|17.500|1|3.000
327,5.45,25,0,0,0,3|8.625|17.250|1|3.000
328,5.46666666666667,25,0,0,0,3|8.500|17.000|1|3.000
329,5.48333333333333,25,0,0,0,3|8.375|16.750|1|3.000
330,5.5,25,0,0,0,3|8.250|16.500|1|3.000
331,5.51666666666667,25,0,0,0,3|8.125|16.250|1|3.000
332,5.53333333333333,25,0,0,0,3|8.000|16.000|1|3.000
333,5.55,25,0,0,0,3|7.875|15.750|1|3.000
334,5.56666666666667,25,0,0,0,3|7.750|15.500|1|3.000
335,5.58333333333333,25,0,0,0,3|7.625|15.250|1|3.000
336,5.6,25,0,0,0,3|7.500|15.000|1|3.000
337,5.61666666666667,25,0,0,0,3|7.375|14.750|1|3.000
338,5.63333333333333,25,0,0,0,3|7.250|14.500|1|3.000
339,5.65,25,0,0,0,3|7.125|14.250|1|3.000
340,5.66666666666667,25,0,0,0,3|7.000|14.000|1|3.000
341,5.68333333333333,25,0,0,0,3|6.875|13.750|1|3.000
342,5.7,25,0,0,0,3|6.750|13.500|1|3.000
343,5.71666666666667,25,0,0,0,3|6.625|13.250|1|3.000
344,5.73333333333333,25,0,0,0,3|6.500|13.000|1|3.000
345,5.75,25,0,0,0,3|6.375|12.750|1|3.000
346,5.76666666666667,25,0,0,0,3|6.250|12.500|1|3.000
347,5.78333333333333,25,0,0,0,3|6.125|12.250|1|3.000
348,5.8,25,0,0,0,3|6.000|12.000|1|3.000
349,5.81666666666667,25,0,0,0,3|5.875|11.750|1|3.000
350,5.83333333333333,25,0,0,0,3|5.750|11.500|1|3.000
351,5.85,25,0,0,0,3|5.625|11.250|1|3.000
352,5.86666666666667,25,0,0,0,3|5.500|11.000|1|3.000
353,5.88333333333333,25,0,0,0,3|5.375|10.750|1|3.000
354,5.9,25,0,0,0,3|5.250|10.500|1|3.000
355,5.91666666666667,25,0,0,0,3|5.125|10.250|1|3.000
356,5.93333333333333,25,0,0,0,3|5.000|10.000|1|3.000
357,5.95,25,0,0,0,3|4.875|9.750|1|3.000
358,5.96666666666667,25,0,0,0,3|4.750|9.500|1|3.000
359,5.98333333333333,25,0,0,0,3|4.625|9.250|1|3.000
360,6,25,0,0,0,3|4.500|9.000|1|3.000
361,6.01666666666667,25,0,0,0,3|4.375|8.750|1|3.000
362,6.03333333333333,25,0,0,0,3|4.250|8.500|1|3.000
363,6.05,25,0,0,0,3|4.125|8.250|1|3.000
364,6.06666666666667,25,0,0,0,3|4.000|8.000|1|3.000
365,6.08333333333333,25,0,0,0,3|3.875|7.750|1|3.000
366,6.1,25,0,0,0,3|3.750|7.500|1|3.000
367,6.11666666666667,25,0,0,0,3|3.625|7.250|1|3.000
368,6.13333333333333,25,0,0,0,3|3.500|7.000|1|3.000
369,6.15,25,0,0,0,3|3.375|6.750|1|3.000
370,6.16666666666667,25,0,0,0,3|3.250|6.500|1|3.000
371,6.18333333333333,25,0,0,0,3|3.125|6.250|1|3.000
372,6.2,25,0,0,0,3|3.000|6.000|1|3.000
373,6.21666666666667,25,0,0,0,3|2.875|5.750|1|3.000
374,6.23333333333333,25,0,0,0,3|2.750|5.500|1|3.000
375,6.25,25,0,0,0,3|2.625|5.250|1|3.000
376,6.26666666666667,25,0,0,0,3|2.500|5.000|1|3.000
377,6.28333333333333,25,0,0,0,3|2.375|4.750|1|3.000
378,6.3,25,0,0,0,3|2.250|4.500|1|3.000
379,6.31666666666667,25,0,0,0,3|2.125|4.250|1|3.000
380,6.33333333333333,25,0,0,0,3|2.000|4.000|1|3.000
381,6.35,25,0,0,0,3|1.875|3.750|1|3.000
382,6.36666666666667,25,0,0,0,3|1.750|3.500|1|3.000
383,6.38333333333333,25,0,0,0,3|1.625|3.250|1|3.000
384,6.4,25,0,0,0,3|1.500|3.000|1|3.000
385,6.41666666666667,25,0,0,0,3|1.375|2.750|1|3.000
386,6.43333333333333,25,0,0,0,3|1.250|2.500|1|3.000
387,6.45,25,0,0,0,3|1.125|2.250|1|3.000
388,6.46666666666667,25,0,0,0,3|1.000|2.000|1|3.000
389,6.48333333333333,25,0,0,0,3|0.875|1.750|1|3.000
390,6.5,25,0,0,0,3|0.750|1.500|1|3.000
391,6.51666666666667,25,0,0,0,3|0.625|1.250|1|3.000
392,6.53333333333333,25,0,0,0,3|0.500|1.000|1|3.000
393,6.55,25,0,0,0,3|0.375|0.750|1|3.000
394,6.56666666666667,25,0,0,0,3|0.250|0.500|1|3.000
395,6.58333333333333,25,0,0,0,3|0.125|0.250|1|3.000
396,6.6,25,1,1.5,4,3|0.000|0.000|1|3.000
397,6.61666666666667,0,0,0,0,
398,6.63333333333333,0,0,0,0,
